timestamp	project_name	run_id	experiment_id	duration	emissions	emissions_rate	cpu_power	gpu_power	ram_power	cpu_energy	gpu_energy	ram_energy	energy_consumed	country_name	country_iso_code	region	cloud_provider	cloud_region	os	python_version	codecarbon_version	cpu_count	cpu_model	gpu_count	gpu_model	longitude	latitude	ram_total_size	tracking_mode	on_cloud	pue	precision@10	recall@10	mrr@10	averagepopularity@10	giniindex@10
2025-02-03T17:32:27	ItemKNN_ml1m_split_2	bff12bf7-227c-4f79-bb7e-51df32bd71e9	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	111.7878794	2.27E-05	2.03E-07	234.8850615	78.53007541	5.775	0.007006728	0.00236292	0.000179273	0.009548921	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.0598	0.0357	0.1428	192.0929	0.7358
2025-02-03T17:33:45	LightGCN_ml1m_split_2	3e9141b9-aed3-4fb5-8879-a8ff80d383e0	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	65.74484557	1.43E-05	2.17E-07	236.2439235	79.61456388	5.775	0.00423488	0.001668111	0.000105441	0.006008433	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1061	0.056	0.2576	387.1785	0.9906
2025-02-03T17:35:07	NGCF_ml1m_split_2	dc125c80-9f30-410a-bca6-b17ed83e7c04	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	65.37062337	1.48E-05	2.27E-07	241.2208647	78.86386505	5.775	0.00421367	0.001913436	0.000104841	0.006231947	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.0939	0.0483	0.219	193.5821	0.8441
2025-02-03T17:39:15	DGCF_ml1m_split_2	12eb105b-a31f-45b3-92ee-7fa8e71b94ab	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	233.9882202	5.84E-05	2.50E-07	233.782462	81.84515314	5.775	0.01507804	0.009131545	0.000375271	0.024584857	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1057	0.056	0.2548	348.7783	0.9777
2025-02-03T17:39:50	ItemKNN_ml1m_split_4	ed037555-8653-4270-96b6-c01a343a07d8	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	26.08481518	5.43E-06	2.08E-07	235.1765103	79.56970788	5.775	0.001669791	0.00057391	4.18E-05	0.002285528	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1076	0.0654	0.2613	484.9615	0.8945
2025-02-03T17:41:41	LightGCN_ml1m_split_4	415b4e32-beef-4ac6-97c0-6e3888e3d756	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	95.21686871	2.21E-05	2.33E-07	224.5681206	78.29010665	5.775	0.006167409	0.002996993	0.000152705	0.009317107	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1165	0.0643	0.279	680.5144	0.9808
2025-02-03T17:44:13	NGCF_ml1m_split_4	bd73090c-79c1-479a-aea5-9cb019fdec56	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	128.9344693	3.09E-05	2.40E-07	230.1567274	79.30800174	5.775	0.008253497	0.004532479	0.000206784	0.01299276	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1192	0.0679	0.2822	581.6958	0.942
2025-02-03T17:55:03	DGCF_ml1m_split_4	21c1d7f4-96a3-4002-a171-2b2b354c1b92	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	627.8297438	0.000170166	2.71E-07	238.0965709	85.64218681	5.775	0.040534473	0.03004048	0.001006876	0.071581828	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1168	0.0655	0.28	638.8824	0.9646
2025-02-03T17:55:46	ItemKNN_ml1m_split_6	8c7d4f1b-a7ee-4c09-909c-037a27e84501	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	32.20468728	6.76E-06	2.10E-07	218.2584107	80.98162325	5.775	0.002083389	0.000708539	5.16E-05	0.002843572	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1282	0.0785	0.3075	751.2209	0.9168
2025-02-03T17:58:41	LightGCN_ml1m_split_6	4d5bb45f-5d0c-4054-93c2-88ad1ff37efb	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	158.476632	3.79E-05	2.39E-07	232.135872	79.05414925	5.775	0.010236842	0.005437078	0.000254156	0.015928076	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1202	0.0681	0.2846	954.1965	0.9696
2025-02-03T18:02:39	NGCF_ml1m_split_6	5f4a3d52-65c2-430d-acba-07da70a4a5f3	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	208.5621853	5.27E-05	2.53E-07	240.7312778	80.43792785	5.775	0.013704077	0.008140165	0.000334476	0.022178718	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1209	0.07	0.2802	813.243	0.9351
2025-02-03T18:23:43	DGCF_ml1m_split_6	df7264bd-107a-4626-8495-2d24ee37802f	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	1236.291407	0.000308323	2.49E-07	134.6352024	79.90600476	5.775	0.063477745	0.064238673	0.001982658	0.129699076	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1219	0.071	0.2867	875.047	0.9461
2025-02-03T18:24:31	ItemKNN_ml1m_split_8	a66b1615-f6f5-4de5-9332-0c3383737718	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	39.03805191	5.72E-06	1.47E-07	136.0812244	78.98611969	5.775	0.001486789	0.000857631	6.26E-05	0.002407025	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1392	0.087	0.3486	1019.7519	0.9246
2025-02-03T18:28:41	LightGCN_ml1m_split_8	f0c42b73-a460-46e1-bccd-e269927996f0	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	229.8467631	4.19E-05	1.82E-07	134.9048511	80.06173711	5.775	0.008698462	0.008550944	0.000368596	0.017618001	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1233	0.0719	0.2871	1205.7782	0.9588
2025-02-03T18:34:22	NGCF_ml1m_split_8	4bbf6399-267b-4da5-bc96-5b6da5b4f0b0	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	308.2282043	5.99E-05	1.94E-07	136.0591686	79.54525239	5.775	0.011647167	0.013045885	0.000494293	0.025187344	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.121	0.0737	0.2793	996.6212	0.9141
2025-02-03T19:10:53	DGCF_ml1m_split_8	8e185197-0af0-4840-a942-3d53f4acd193	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	2159.647978	0.000479057	2.22E-07	137.1613243	79.75442918	5.775	0.081599194	0.116457233	0.003463353	0.20151978	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1247	0.0747	0.2865	1108.3388	0.9339
2025-02-04T11:37:06	ItemKNN_ml1m_split_10	d026d146-6530-4ed5-957b-f572a8722127	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	75.96872842	1.11E-05	1.46E-07	139.4175839	79.87145426	5.775	0.002946945	0.001583938	0.000121828	0.004652711	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1517	0.094	0.3765	1287.5563	0.9286
2025-02-04T11:42:22	LightGCN_ml1m_split_10	08582e6d-679e-4dab-a9dd-38df1382fe32	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	298.1128195	5.68E-05	1.91E-07	139.3716081	80.23483925	5.775	0.011615877	0.011817162	0.000478124	0.023911163	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1261	0.0752	0.2894	1411.3784	0.9459
2025-02-04T11:49:28	NGCF_ml1m_split_10	7e1330e1-829e-49cb-bd09-16b9591f7528	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	388.385597	7.95E-05	2.05E-07	137.7263618	116.0192889	5.775	0.014928484	0.017875064	0.000622892	0.033426439	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1216	0.0741	0.2796	1140.8838	0.8931
2025-02-04T12:44:10	DGCF_ml1m_split_10	301570eb-5251-4270-926b-aefab0d902a4	5b0fa12a-3dd7-45bb-9766-cc326314d9f1	3245.897132	0.000755528	2.33E-07	143.423546	80.31421248	5.775	0.130163224	0.182451103	0.005205866	0.317820193	Canada	CAN	quebec			Linux-4.18.0-425.19.2.el8_7.x86_64-x86_64-with-glibc2.28	3.11.6	2.8.3	1	Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz	1	1 x NVIDIA A100-SXM-64GB	-71.2	46.8	15.4	machine	N	1	0.1249	0.0768	0.2902	1300.5265	0.9213